,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
0,finals_2021_1,7,-63647.67364996672,-213655.19745934795,614175.7166299823,38882.01304747204,182734.1179484744,0.0,0.0
1,finals_2021_2,7,408956.3337120408,695035.4969164768,183267.92853569167,141022.32325381707,1700646.1141097774,0.0,0.0
2,finals_2021_3,7,283904.52543717134,338221.5207293387,-13030.355971628424,-38430.527041114205,430667.6905730544,0.0,-451005.4210780084
3,finals_2021_4,7,-368697.7117124824,-58324.54917710138,-173899.8273958115,32218.812007174794,5194.448365913515,-212883.26685390272,50175.09807916357
4,finals_2021_5,7,12519.85613645148,-147475.66839076145,57384.421244071375,-1522655.2766951092,1185995.5715538803,0.0,1325305.83737502
5,finals_2021_6,7,7077.877446804088,-6281.163557874734,0.0,3931.95751138077,339669.204972692,-606252.416089141,211542.6432543796
6,finals_2021_7,7,92515.7816107366,-2998.7351435159403,-8634.82743844164,50341.2665699802,855512.6855847891,-198917.02115764032,1400544.6209227056
7,finals_2021_8,7,144037.78140783095,-6466.5443729247,-65528.84625589895,-203592.2119985028,1103686.0168700055,0.0,144590.04489265752
8,finals_2021_9,7,22597.54518310623,0.0,-100362.16264665547,-1836.982340217514,1084808.9004155896,153474.12847850064,216339.40787423373
9,finals_2021_10,7,168956.75900426996,0.0,-88395.23577549923,-2202.4967818168907,280358.87787781574,-33434.36136549314,49774.53180056127
10,finals_2021_11,7,-582932.8445279057,-16628.335475334152,-29300.194165821147,29269.87243496972,-813173.3153800037,-83718.22705033724,351281.9247584617
11,finals_2021_12,7,65900.70420508966,156477.21667172245,-12666.0510311369,230580.72787056232,932106.2547315644,-202158.4590879826,-720684.1368743889
12,finals_2021_13,7,-2324169.9035052736,-535466.0321413897,-78405.42746673994,2695559.5783981457,-3133700.0308453897,-1448452.9708671684,-630848.1988962508
13,finals_2021_14,7,-4905.602021982166,-16780.2223588145,-145695.84347890297,192190.51484284576,217255.29553082105,-425839.2469064988,150679.1612592609
14,finals_2021_15,7,-5869.326142321218,32939.839966554995,-122375.2822084868,534897.5114780868,1154507.8655640658,0.0,359612.72031708213
15,finals_2021_16,7,-2118.5521754051765,72959.2979534343,-83354.70170335118,328604.68722870125,1116105.074074158,-893321.2946727123,249372.78386382683
16,finals_2021_17,7,-16503.509005346586,24308.988650854237,-91676.9058767929,159058.9205624458,578356.0343078859,-279689.5879895836,-33601.01871699318
17,finals_2021_18,7,-275226.0480875088,-636641.5311373096,5075253.370190051,-15033199.9150761,-3065539.291493024,0.0,2545138.663646908
18,finals_2021_19,7,-3534275.848790016,-590439.9634790032,-59948.17600590461,-1939396.763209439,-3125143.1097503607,-1703816.4434864891,-52778.87503162949
19,finals_2021_20,7,-2878.8488055213006,50821.08975084322,-69164.26672865522,130379.03086323374,888891.3688860349,0.0,655211.2357967916
20,finals_2021_21,7,-705015.9433890366,-13063.551934706948,-98449.5047318364,-262105.79106167235,-681760.0287452455,0.0,604616.2438335461
21,finals_2021_22,7,-239645.94427704552,39582.95516203815,-10848.932667592026,-44009.56732293278,57055.00924564881,0.0,78358.6323693689
