,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
50,finals_2021_51,5,89582.4944483433,-596721.3273593386,2322481.212914006,-4590199.716717948,-3066588.1908753943,,
51,finals_2021_52,5,137672.3715553769,932432.4999727692,-29332.58121521972,,1802989.779532125,827364.7107890382,
52,finals_2021_53,5,-150231.77932441616,,-169256.6751139248,373670.4159137889,105103.04871825328,-4330758.19516897,
53,finals_2021_54,5,,1169.631543385189,-168445.07588941703,212976.95562201628,-271164.3527135443,-445641.5351703786,
54,finals_2021_55,5,10914.155872605712,56266.85678261564,,348627.70453558967,938767.3438540092,-783902.4828437304,
55,finals_2021_56,5,291764.1061560265,376644.1075568506,-116576.9947223125,1314225.473665709,,191298.3578443205,
56,finals_2021_57,5,-1856842.298457658,-505303.9268874902,859595.112101088,,-3095395.805907146,,-371890.5369762604
57,finals_2021_58,5,-92413.3833671042,,108639.44414163024,326398.544984857,557634.343574836,,282167.8219337036
58,finals_2021_59,5,,31123.315012487987,-73859.33520710029,906727.2960263968,1076167.0376887892,,1060231.9018830631
59,finals_2021_60,5,-97677.0837598954,85576.61675316712,,512558.0365712532,766471.1971889577,,630923.9099979496
60,finals_2021_61,5,-757224.8387701267,-601527.8028271042,673309.6004117386,-15160054.99695458,,,1798084.1117610312
61,finals_2021_62,5,-106495.01725990223,,-128393.1370617436,,1478316.135193244,-1685924.436307646,1224495.3201139811
62,finals_2021_63,5,,-473519.6436286226,-53603.20671990485,,-548134.7261031981,437187.0252407781,917854.748790411
63,finals_2021_64,5,-10391169.534727655,-596337.4690889543,,,-3147695.8536324804,-4953797.949302455,-53609.179631835694
64,finals_2021_65,5,222848.70902043607,322376.7844087504,-94572.41381700271,,,-167310.20775249315,2965598.331025814
65,finals_2021_66,5,,,-56806.42621069818,243425.6207018934,164209.70250799743,-263277.3039984062,-117627.29673648026
66,finals_2021_67,5,-1725790.343693889,,,-4902372.253210805,-3188481.5596141173,-3399543.2256564475,-16465.91934646109
67,finals_2021_68,5,-1091700.4593296736,,-112613.33944602584,-12197987.614843652,,-9007105.436020477,-537468.317996278
68,finals_2021_69,5,,16579.742177543158,,307973.6748733566,477752.3403218742,-1143833.7034739656,-246194.88154190333
